1	2	3	4	5	6	7	8	9
-0.100000001	0	-0.100000001	0	0	0	1	0.00159999996	52
-0.0599999987	0	-0.100000001	0	0	0	1	0.00159999996	51
-0.0199999996	0	-0.100000001	0	0	0	1	0.00159999996	50
0.0199999996	0	-0.100000001	0	0	0	1	0.00159999996	50
0.0599999987	0	-0.100000001	0	0	0	1	0.00159999996	51
0.100000001	0	-0.100000001	0	0	0	1	0.00159999996	52
0.140000001	0	-0.100000001	0	0	0	1	0.00159999996	53
0.180000007	0	-0.100000001	0	0	0	1	0.00159999996	54
0.219999999	0	-0.100000001	0	0	0	1	0.00159999996	55
0.25999999	0	-0.100000001	0	0	0	1	0.00159999996	56
0.300000012	0	-0.100000001	0	0	0	1	0.00159999996	57
0.340000004	0	-0.100000001	0	0	0	1	0.00159999996	58
0.379999995	0	-0.100000001	0	0	0	1	0.00159999996	59
0.419999987	0	-0.100000001	0	0	0	1	0.00159999996	60
0.460000008	0	-0.100000001	0	0	0	1	0.00159999996	61
0.5	0	-0.100000001	0	0	0	1	0.00159999996	62
0.540000021	0	-0.100000001	0	0	0	1	0.00159999996	63
0.579999983	0	-0.100000001	0	0	0	1	0.00159999996	64
0.620000005	0	-0.100000001	0	0	0	1	0.00159999996	65
0.660000026	0	-0.100000001	0	0	0	1	0.00159999996	66
0.699999988	0	-0.100000001	0	0	0	1	0.00159999996	67
0.74000001	0	-0.100000001	0	0	0	1	0.00159999996	68
0.779999971	0	-0.100000001	0	0	0	1	0.00159999996	69
0.819999993	0	-0.100000001	0	0	0	1	0.00159999996	70
0.860000014	0	-0.100000001	0	0	0	1	0.00159999996	71
0.899999976	0	-0.100000001	0	0	0	1	0.00159999996	72
0.939999998	0	-0.100000001	0	0	0	1	0.00159999996	73
0.980000019	0	-0.100000001	0	0	0	1	0.00159999996	74
1.01999998	0	-0.100000001	0	0	0	1	0.00159999996	74
1.05999994	0	-0.100000001	0	0	0	1	0.00159999996	73
1.10000002	0	-0.100000001	0	0	0	1	0.00159999996	72
-0.100000001	0	-0.0599999987	0	0	0	1	0.00159999996	27
-0.0599999987	0	-0.0599999987	0	0	0	1	0.00159999996	26
-0.0199999996	0	-0.0599999987	0	0	0	1	0.00159999996	25
0.0199999996	0	-0.0599999987	0	0	0	1	0.00159999996	25
0.0599999987	0	-0.0599999987	0	0	0	1	0.00159999996	26
0.100000001	0	-0.0599999987	0	0	0	1	0.00159999996	27
0.140000001	0	-0.0599999987	0	0	0	1	0.00159999996	28
0.180000007	0	-0.0599999987	0	0	0	1	0.00159999996	29
0.219999999	0	-0.0599999987	0	0	0	1	0.00159999996	30
0.25999999	0	-0.0599999987	0	0	0	1	0.00159999996	31
0.300000012	0	-0.0599999987	0	0	0	1	0.00159999996	32
0.340000004	0	-0.0599999987	0	0	0	1	0.00159999996	33
0.379999995	0	-0.0599999987	0	0	0	1	0.00159999996	34
0.419999987	0	-0.0599999987	0	0	0	1	0.00159999996	35
0.460000008	0	-0.0599999987	0	0	0	1	0.00159999996	36
0.5	0	-0.0599999987	0	0	0	1	0.00159999996	37
0.540000021	0	-0.0599999987	0	0	0	1	0.00159999996	38
0.579999983	0	-0.0599999987	0	0	0	1	0.00159999996	39
