1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
0.119999997	0.167500004	0.620000005	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.119999997	0.167500004	0.685000002	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.119999997	0.232500002	0.620000005	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.119999997	0.232500002	0.685000002	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.185000002	0.167500004	0.620000005	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.185000002	0.167500004	0.685000002	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.185000002	0.232500002	0.620000005	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.185000002	0.232500002	0.685000002	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.25	0.167500004	0.620000005	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.25	0.167500004	0.685000002	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.25	0.232500002	0.620000005	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.25	0.232500002	0.685000002	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.314999998	0.167500004	0.620000005	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.314999998	0.167500004	0.685000002	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.314999998	0.232500002	0.620000005	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.314999998	0.232500002	0.685000002	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.379999995	0.167500004	0.620000005	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.379999995	0.167500004	0.685000002	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.379999995	0.232500002	0.620000005	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
0.379999995	0.232500002	0.685000002	0	0	0	0	0	0	0.0250000004	2500	0.163624614	4.0906154e-05	20000	4	0.300000012	0.0799999982
